name,county,land_area
Rancho Palos Verdes,Los Angeles,13.46
Rancho Santa Margarita,Orange,12.96
Red Bluff,Tehama,7.56
Redding,Shasta,59.65
Redlands,San Bernardino,36.13
Redondo Beach,Los Angeles,6.2
Redwood City,San Mateo,19.42
Reedley,Fresno,5.08
Rialto,San Bernardino,22.35
Richmond,Contra Costa,30.07
Ridgecrest,Kern,20.77
Rio Dell,Humboldt,2.28
Rio Vista,Solano,6.69
Ripon,San Joaquin,5.3
Riverbank,Stanislaus,4.09
Riverside,Riverside,81.14
Rocklin,Placer,19.54
Rohnert Park,Sonoma,7
Rolling Hills,Los Angeles,2.99
Rolling Hills Estates,Los Angeles,3.57
Rosemead,Los Angeles,5.16
Roseville,Placer,36.22
Ross,Marin,1.56
Sacramento,Sacramento,97.92
St. Helena,Napa,4.99
Salinas,Monterey,23.18
San Anselmo,Marin,2.68
San Bernardino,San Bernardino,59.2
San Bruno,San Mateo,5.48
San Carlos,San Mateo,5.54
San Clemente,Orange,18.71
San Diego,San Diego,325.19
San Dimas,Los Angeles,15.04
San Fernando,Los Angeles,2.37
San Francisco,San Francisco,46.87
San Gabriel,Los Angeles,4.14
San Jacinto,Riverside,25.72
San Joaquin,Fresno,1.15
San Jose,Santa Clara,176.53
San Juan Bautista,San Benito,0.71
San Juan Capistrano,Orange,14.12
San Leandro,Alameda,13.34
San Luis Obispo,San Luis Obispo,12.78
San Marcos,San Diego,24.37
San Marino,Los Angeles,3.77
San Mateo,San Mateo,12.13
San Pablo,Contra Costa,2.63
San Rafael,Marin,16.47
San Ramon,Contra Costa,18.06
Sand City,Monterey,0.56
Sanger,Fresno,5.52
Santa Ana,Orange,27.27
Santa Barbara,Santa Barbara,19.47
Santa Clara,Santa Clara,18.41
Santa Clarita,Los Angeles,52.72
Santa Cruz,Santa Cruz,12.74
Santa Fe Springs,Los Angeles,8.87
Santa Maria,Santa Barbara,22.76
Santa Monica,Los Angeles,8.41
Santa Paula,Ventura,4.59
Santa Rosa,Sonoma,41.29
Santee,San Diego,16.24
Saratoga,Santa Clara,12.38
Sausalito,Marin,1.77
Scotts Valley,Santa Cruz,4.59
Seal Beach,Orange,11.29
Seaside,Monterey,9.24
Sebastopol,Sonoma,1.85
Selma,Fresno,5.14
Shafter,Kern,27.94
Shasta Lake,Shasta,10.92
Sierra Madre,Los Angeles,2.95
Signal Hill,Los Angeles,2.19
Simi Valley,Ventura,41.48
Solana Beach,San Diego,3.52
Soledad,Monterey,4.41
Solvang,Santa Barbara,2.43
Sonoma,Sonoma,2.74
Sonora,Tuolumne,3.06
South El Monte,Los Angeles,2.84
South Gate,Los Angeles,7.24
South Lake Tahoe,El Dorado,10.16
South Pasadena,Los Angeles,3.41
South San Francisco,San Mateo,9.14
Stanton,Orange,3.15
Stockton,San Joaquin,61.67
Suisun City,Solano,4.11
Sunnyvale,Santa Clara,21.99
Susanville,Lassen,7.93
Sutter Creek,Amador,2.56
Taft,Kern,15.11
Tehachapi,Kern,9.87
Tehama,Tehama,0.79
Temecula,Riverside,30.15
Temple City,Los Angeles,4.01
Thousand Oaks,Ventura,55.03
Tiburon,Marin,4.43
Torrance,Los Angeles,20.48
Tracy,San Joaquin,22
Trinidad,Humboldt,0.48
Truckee,Nevada,32.32
Tulare,Tulare,20.93
Tulelake,Siskiyou,0.41
Turlock,Stanislaus,16.93
Tustin,Orange,11.08
Twentynine Palms,San Bernardino,59.14
Ukiah,Mendocino,4.67
Union City,Alameda,19.47
Upland,San Bernardino,15.62
Vacaville,Solano,28.37
Vallejo,Solano,30.67
Ventura,Ventura,21.65
Vernon,Los Angeles,4.97
Victorville,San Bernardino,73.18
Villa Park,Orange,2.08
Visalia,Tulare,36.25
Vista,San Diego,18.68
Walnut,Los Angeles,8.99
Walnut Creek,Contra Costa,19.76
Wasco,Kern,9.43
Waterford,Stanislaus,2.33
Watsonville,Santa Cruz,6.69
Weed,Siskiyou,4.79
West Covina,Los Angeles,16.04
West Hollywood,Los Angeles,1.89
West Sacramento,Yolo,21.43
Westlake Village,Los Angeles,5.19
Westminster,Orange,10.05
Westmorland,Imperial,0.59
Wheatland,Yuba,1.48
Whittier,Los Angeles,14.65
Wildomar,Riverside,23.69
Williams,Colusa,5.44
Willits,Mendocino,2.8
Willows,Glenn,2.85
Windsor,Sonoma,7.27
Winters,Yolo,2.91
Woodlake,Tulare,2.25
Woodland,Yolo,15.3
Woodside,San Mateo,11.73
Yorba Linda,Orange,19.48
Yountville,Napa,1.53
Yreka,Siskiyou,9.98
Yuba City,Sutter,14.58
Yucaipa,San Bernardino,27.89
Yucca Valley,San Bernardino,40.02
